ESO103-G35    ;       ;     ;       ;    ; ;   2.25; 0.07; ;   1.19;0.12; ;   0.78;0.01; ;  0.53;0.02; ;  0.52; 0.05; ;c  ;
ESO140-G043   ;       ;     ;       ;    ; ;   2.96; 0.54; ;   1.14;0.25; ;   2.21;0.06; ;  1.93;0.04; ;  1.48; 0.12; ;3x3;
NGC6786       ;       ;     ;       ;    ; ;   4.21; 0.26; ;   6.10;0.24; ;       ;    ; ;      ;    ; ;  5.41; 0.17; ;3x3;
ESO141-G55    ;       ;     ;       ;    ; ;   0.25; 0.14; ;   0.80;0.11; ;       ;    ; ;      ;    ; ;  1.24; 0.09; ;3x3;
IRAS19254-7245;   3.92; 0.56;   4.12;0.24; ;   5.20; 0.38; ;       ;    ; ;   5.14;0.06; ;  4.37;0.12; ;  3.76; 0.13; ;3x3;
ESO339-G11    ;       ;     ;       ;    ; ;   6.23; 0.35; ;   8.99;0.28; ;  10.38;0.13; ;      ;    ; ;  8.55; 0.22; ;3x3;
3C405         ;   3.05; 0.43;   2.38;0.25; ;   2.81; 0.44; ;   2.40;0.10; ;   1.78;0.05; ;      ;    ; ;  1.12; 0.12; ;3x3;
IRAS20037-1547;       ;     ;       ;    ; ;       ;     ; ;       ;    ; ;       ;    ; ;      ;    ; ;  1.03; 0.20; ;3x3;
NGC6860       ;       ;     ;       ;    ; ;       ;     ; ;       ;    ; ;       ;    ; ;      ;    ; ;  2.31; 0.17; ;3x3;
MCG+04-48-002 ;       ;     ;       ;    ; ;   9.64; 0.59; ;  13.82;0.36; ;  15.23;0.26; ;      ;    ; ; 12.36; 0.43; ;3x3;
NGC6926       ;       ;     ;       ;    ; ;   1.72; 0.24; ;   3.08;0.24; ;   6.87;0.12; ;      ;    ; ;  6.10; 0.21; ;3x3;
Mrk509        ;       ;     ;       ;    ; ;   1.93; 0.17; ;   1.31;0.29; ;   1.62;0.06; ;  1.09;0.06; ;  0.91; 0.16; ;3x3;
PKS2048-57    ;       ;     ;       ;    ; ;   5.61; 0.24; ;       ;    ; ;       ;    ; ;  2.93;0.18; ;  2.43; 0.13; ;3x3;
3C433         ;       ;     ;       ;    ; ;   0.22; 0.08; ;       ;    ; ;       ;    ; ;      ;    ; ;      ;     ; ;c  ;
IC5135        ;       ;     ;  15.18;0.47; ;  17.10; 0.60; ;  23.66;0.50; ;  26.22;0.21; ; 22.39;0.31; ; 20.71; 1.23; ;3x3;
NGC7172       ;       ;     ;   2.20;0.18; ;   2.30; 0.16; ;   4.20;0.23; ;   5.42;0.10; ;  5.59;0.12; ;  5.44; 0.17; ;c  ;
IRAS22017+0319;       ;     ;       ;    ; ;   0.86; 0.06; ;   1.02;0.04; ;       ;    ; ;      ;    ; ;  0.73; 0.19; ;c  ;
NGC7213       ;       ;     ;       ;    ; ;       ;     ; ;       ;    ; ;       ;    ; ;      ;    ; ;  2.60; 0.23; ;3x3;
3C445         ;       ;     ;       ;    ;<;   0.73;     ;<;   0.42;    ; ;       ;    ; ;      ;    ;<;  0.49;     ; ;3x3;
